fecha,año,trimestre,periodo,inactivos_estudiantes_ambos_sexos,inactivos_estudiantes_hombres,inactivos_estudiantes_mujeres,inactivos_incapacidad_permanente_ambos_sexos,inactivos_incapacidad_permanente_hombres,inactivos_incapacidad_permanente_mujeres,inactivos_labores_hogar_ambos_sexos,inactivos_labores_hogar_hombres,inactivos_labores_hogar_mujeres,inactivos_otra_causa_ambos_sexos,inactivos_otra_causa_hombres,inactivos_otra_causa_mujeres,inactivos_pensionistas_ambos_sexos,inactivos_pensionistas_hombres,inactivos_pensionistas_mujeres,inactivos_total_ambos_sexos,inactivos_total_hombres,inactivos_total_mujeres,share_labores_hogar,share_pensionistas,share_estudiantes,ratio_feminizacion_inactividad
1976-07-01,1976,3,1976Q3,1173.1,609.1,563.9,381.6,229.6,152.1,7796.0,0.0,7796.0,406.3000000000004,345.90000000000083,60.4,2355.8,1507.0,848.8,12112.9,2691.7000000000007,9421.2,64.36113564877115,19.448686937067095,9.684716294198745,77.77823642562888
1976-10-01,1976,4,1976Q4,1194.7,621.8,572.8,421.5,253.6,167.9,7800.1,0.0,7800.1,419.3283680206205,369.4852075979389,50.00000000000036,2385.5,1506.9,878.6,12221.12836802062,2751.785207597939,9469.5,63.82471213059793,19.519474210271834,9.775693078604805,77.48366754515177
1977-01-01,1977,1,1977Q1,1227.4,632.8,594.5,432.9,256.1,176.8,7791.5,0.0,7791.5,425.6321683917519,378.2952780412365,47.33689035051575,2450.6,1537.2,913.5,12328.032168391752,2804.3952780412365,9523.636890350515,63.201489853156644,19.87827389259394,9.956171295099079,77.25188221659968
1977-04-01,1977,2,1977Q2,1278.7,663.0,615.6,439.9,259.6,180.4,7832.6,0.0,7832.6,425.9632562061896,382.44419776288686,43.61905844329849,2505.3,1546.0,959.3,12482.463256206189,2851.044197762887,9631.519058443298,62.748832816356895,20.07055777836465,10.24397167253218,77.15978570070229
1977-07-01,1977,3,1977Q3,1230.9,636.0,594.9,443.4,263.8,179.6,7807.5,0.0,7807.5,440.4153015670101,390.4935849484543,49.82171661855682,2551.8,1557.9,994.0,12474.01530156701,2848.1935849484544,9625.821716618557,62.59011081234771,20.456925362913722,9.867712763230072,77.1669866030174
1977-10-01,1977,4,1977Q4,1252.5,641.0,611.4,440.9,268.5,172.4,7749.6,0.0,7749.6,439.8006504639168,395.9955796391737,43.90507082474396,2609.2,1581.5,1027.6,12492.000650463917,2887.0955796391736,9605.005070824744,62.03650013188402,20.886966571708445,10.026416384740468,76.88863017980923
1978-01-01,1978,1,1978Q1,1314.2,674.0,640.2,426.2,259.6,166.5,7700.4,0.0,7700.4,438.5833132164935,395.78117791752686,42.80213529896755,2702.3,1613.9,1088.4,12581.683313216494,2943.3811779175267,9638.302135298967,61.20325721369155,21.47804814925961,10.445343180904036,76.60582368318207
1978-04-01,1978,2,1978Q2,1397.0,716.6,680.5,423.6,256.1,167.5,7715.6,0.0,7715.6,449.3207475360843,402.42639960824727,46.89434792783614,2755.6,1642.0,1113.6,12741.220747536085,3017.126399608247,9724.094347927836,60.55620691990643,21.627441001152746,10.964412497681227,76.31995819402388
1978-07-01,1978,3,1978Q3,1360.7,688.4,672.4,424.1,258.4,165.7,7704.5,0.0,7704.5,465.6250091546375,407.32325567010247,58.40175348453632,2801.8,1651.3,1150.4,12756.725009154638,3005.4232556701027,9751.301753484537,60.39559522111673,21.963317371734032,10.666530782967556,76.44047940585602
1978-10-01,1978,4,1978Q4,1405.7,711.9,693.8,426.9,263.0,164.0,7675.1,0.0,7675.1,468.23089035051305,418.6264875670088,49.6044027835047,2851.6,1679.2,1172.3,12827.530890350514,3072.626487567009,9754.904402783504,59.8330268358471,22.230310917786294,10.958461234791764,76.04662570036463
1979-01-01,1979,1,1979Q1,1442.4,734.7,707.7,430.6,263.7,166.9,7620.4,0.0,7620.4,471.4617419587648,415.4453648453606,56.01637711340154,2919.9,1702.2,1217.7,12884.861741958764,3116.0453648453604,9768.816377113402,59.14227216877798,22.66147715416708,11.19453222616206,75.81622971787002
1979-04-01,1979,2,1979Q2,1519.8,780.1,739.7,428.2,261.1,167.1,7633.6,0.0,7633.6,478.5705452680406,423.4835974536083,55.0869478144341,2987.2,1725.1,1262.1,13047.37054526804,3189.7835974536083,9857.586947814434,58.50680773965233,22.895034594410163,11.648324041438325,75.55228782392125
1979-07-01,1979,3,1979Q3,1452.1,739.1,713.1,435.7,270.3,165.4,7629.0,0.0,7629.0,487.1290555051517,421.5018234639168,65.62723204123577,3025.9,1745.5,1280.3,13029.729055505151,3176.401823463917,9853.327232041236,58.550718648878544,23.223046213087112,11.144514163066788,75.62188891317072
1979-10-01,1979,4,1979Q4,1474.0,734.9,739.1,426.2,266.7,159.4,7597.0,0.0,7597.0,475.57005457731975,424.1165774329902,51.55347714432901,3106.5,1779.7,1326.8,13079.17005457732,3205.31657743299,9873.953477144329,58.08472531742391,23.751507068392446,11.269828237183473,75.49315394469409
1980-01-01,1980,1,1980Q1,1523.2,758.5,764.8,419.7,260.4,159.3,7568.4,0.0,7568.4,482.37719129897016,425.3207421030913,57.05644919587612,3184.9,1825.2,1359.7,13178.57719129897,3269.4207421030915,9909.156449195876,57.42956838312533,24.167252304769292,11.558152127421453,75.19139817110381
1980-04-01,1980,2,1980Q2,1600.7,803.5,797.2,430.8,268.4,162.4,7594.4,0.0,7594.4,488.37338891752586,427.12283139175287,61.250557525772095,3228.2,1844.6,1383.6,13342.473388917526,3343.6228313917527,9998.850557525771,56.91898180069095,24.194914285393253,11.99702598867139,74.94000749389525
1980-07-01,1980,3,1980Q3,1592.8,790.1,802.7,435.7,276.1,159.6,7591.6,0.0,7591.6,514.7662695257728,441.72004552577454,73.04622400000008,3273.0,1853.1,1419.9,13407.866269525774,3361.0200455257745,10046.846224,56.62049312987748,24.411042996744953,11.87959342658581,74.93247636900357
1980-10-01,1980,4,1980Q4,1635.8,815.8,820.0,430.7,265.7,165.0,7576.4,0.0,7576.4,507.4687798556715,446.1790488144332,61.28973104123652,3327.0,1882.2,1444.8,13477.568779855672,3409.879048814433,10067.589731041237,56.2148865552377,24.68546111204211,12.137203873483163,74.69941051608247
1981-01-01,1981,1,1981Q1,1661.9,821.8,840.1,420.2,258.8,161.4,7607.4,0.0,7607.4,513.5318183092775,455.4207722474236,58.11104606185618,3382.7,1905.3,1477.4,13585.731818309278,3441.3207722474235,10144.411046061856,55.99551133305625,24.898916342814807,12.232686632017007,74.66959587992449
1981-04-01,1981,2,1981Q2,1728.2,871.8,856.3,410.6,256.1,154.5,7621.3,0.0,7621.3,518.7393393608247,452.2735652474221,66.56577411340295,3427.0,1923.0,1504.0,13705.839339360824,3503.273565247422,10202.665774113402,55.60622601282748,25.003941131560204,12.609224121261262,74.4397412063054
1981-07-01,1981,3,1981Q3,1680.6,833.9,846.7,408.9,257.2,151.8,7612.8,0.0,7612.8,534.2578773195888,458.1638307216481,76.194046597938,3476.5,1940.8,1535.7,13713.157877319589,3489.9638307216483,10223.094046597938,55.51456541305436,25.351564031431735,12.255382859549595,74.55006854092115
1981-10-01,1981,4,1981Q4,1706.9,843.5,863.5,408.5,257.4,151.1,7572.7,0.0,7572.7,534.189710061856,461.6039402680405,72.48576979381615,3514.3,1957.3,1557.0,13736.589710061857,3519.8039402680406,10216.785769793816,55.12794776459767,25.583496880785667,12.42593712142192,74.37643538490609
1982-01-01,1982,1,1982Q1,1733.6,855.8,877.8,398.7,252.2,146.5,7594.6,0.0,7594.6,536.8983952371145,461.2068346804123,75.7915605567021,3572.0,1989.3,1582.7,13835.798395237114,3558.4068346804124,10277.391560556702,54.89094147696163,25.817086213323538,12.529815414170683,74.28116012513328
1982-04-01,1982,2,1982Q2,1790.4,885.6,904.8,398.5,252.6,145.9,7565.0,0.0,7565.0,559.6847968866001,480.6763287319576,79.00846815463846,3625.6,2016.3,1609.3,13939.1847968866,3635.2763287319576,10303.90846815464,54.27146644680173,26.010129378654906,12.84436662608775,73.92045243891222
1982-07-01,1982,3,1982Q3,1736.1,849.0,887.1,412.4,259.6,152.8,7487.5,0.0,7487.5,601.7455778969037,503.795983587628,97.94959430928029,3670.5,2044.9,1625.6,13908.245577896903,3657.295983587628,10250.94959430928,53.834971190753166,26.390819600088083,12.482523336796872,73.70411700667817
1982-10-01,1982,4,1982Q4,1737.9,845.0,892.9,431.2,272.4,158.8,7472.4,0.0,7472.4,582.5528999999991,501.707292268042,80.74560773195954,3722.8,2069.7,1653.1,13946.7529,3688.707292268042,10257.94560773196,53.57806260409188,26.692951590186993,12.460965017885993,73.55130783911571
1983-01-01,1983,1,1983Q1,1808.2,882.7,925.5,444.6,278.1,166.6,7450.1,0.0,7450.1,586.7310201855682,504.7693626804127,81.96165750515684,3763.2,2092.3,1670.9,14052.831020185567,3757.869362680413,10294.961657505157,53.01494047212717,26.778945783910142,12.867158207500617,73.2589870519144
1983-04-01,1983,2,1983Q2,1871.3,915.9,955.4,453.4,284.8,168.7,7425.1,0.0,7425.1,595.5273371443309,502.8588904948461,92.6684466494844,3791.5,2104.8,1686.8,14136.92733714433,3808.258890494846,10328.668446649484,52.52272875797264,26.819830855591608,13.23696412503457,73.06162223463676
1983-07-01,1983,3,1983Q3,1813.5,883.9,929.6,469.6,299.4,170.2,7383.4,0.0,7383.4,609.5549896907214,503.5211136494839,106.13387604123707,3814.7,2105.4,1709.3,14090.754989690722,3792.221113649484,10298.533876041238,52.39889562625953,27.072360585298412,12.870140750632727,73.08716873990072
1983-10-01,1983,4,1983Q4,1818.9,889.1,929.8,473.7,295.2,178.6,7391.1,0.0,7391.1,622.0257075360842,530.0564833917535,91.9692241443292,3849.0,2133.6,1715.4,14154.725707536085,3847.8564833917535,10306.86922414433,52.21648340430166,27.192331942898495,12.850125375665908,72.81574674850022
1984-01-01,1984,1,1984Q1,1855.0,903.5,951.5,464.3,287.6,176.7,7402.8,0.0,7402.8,642.7928306185553,547.0579996907205,95.7348309278339,3929.2,2186.0,1743.1,14294.092830618556,3924.2579996907207,10369.834830927834,51.7892257152751,27.488278175887356,12.977388785572394,72.54629554885223
1984-04-01,1984,2,1984Q2,1907.5,928.6,978.9,444.3,277.9,166.4,7437.3,0.0,7437.3,635.3072209793849,528.1131687731961,107.29405220618246,4000.5,2225.6,1774.9,14424.907220979385,3960.113168773196,10464.694052206183,51.55873716250524,27.733280628534846,13.223655242827201,72.54650888496018
1984-07-01,1984,3,1984Q3,1878.5,909.6,968.9,444.8,280.3,164.5,7415.9,0.0,7415.9,651.2952316701045,534.2459971958754,116.94923447422552,4051.6,2246.3,1805.3,14442.195231670104,3970.5459971958753,10471.649234474226,51.34884192492958,28.053906868086777,13.00702538545291,72.5073236201037
1984-10-01,1984,4,1984Q4,1903.8,925.6,978.1,428.8,261.1,167.7,7370.3,0.0,7370.3,628.4329319793836,516.8652312577321,111.66770072164871,4154.4,2301.7,1852.7,14485.732931979384,4005.265231257732,10480.467700721649,50.879717544211935,28.67925302439168,13.142586632928193,72.35027561211265
1985-01-01,1985,1,1985Q1,1985.3,959.7,1025.6,419.9,256.8,163.1,7299.6,0.0,7299.6,627.8414719793851,515.4665424948458,112.37492948453472,4251.6,2341.3,1910.3,14584.141471979385,4073.166542494846,10510.974929484535,50.05162637804066,29.15221309508434,13.612731361762851,72.07126281433396
1985-04-01,1985,2,1985Q2,2078.7,1016.8,1062.0,409.8,256.6,153.2,7325.0,0.0,7325.0,636.1464894845336,517.5134651546394,118.53302432989511,4294.0,2358.1,1935.9,14743.546489484534,4149.01346515464,10594.433024329895,49.682754452765984,29.12460718364193,14.099050058834765,71.85859176065895
1985-07-01,1985,3,1985Q3,2067.2,1000.0,1067.2,421.2,267.6,153.6,7284.1,0.0,7284.1,624.6531512989707,500.6419807422697,123.91117055670148,4368.1,2383.2,1984.8,14765.25315129897,4151.5419807422695,10613.611170556702,49.332713265123964,29.583644487773093,14.000437234752988,71.88283834105007
1985-10-01,1985,4,1985Q4,2108.2,1016.9,1091.3,403.4,259.0,144.3,7239.7,0.0,7239.7,641.0253467938139,519.3953426804107,121.63000411340218,4411.2,2409.0,2002.2,14803.425346793814,4204.295342680411,10599.130004113402,48.90557307108657,29.798508768481717,14.241298554976686,71.5991721902999
1986-01-01,1986,1,1986Q1,2142.3,1035.1,1107.2,390.0,247.9,142.1,7227.6,0.0,7227.6,598.3476608453591,483.59216659793873,114.5554942474242,4482.5,2444.1,2038.4,14840.64766084536,4210.692166597939,10629.855494247424,48.70137857304469,30.20420740683945,14.435353826586095,71.62711065099543
1986-04-01,1986,2,1986Q2,2181.3,1058.3,1123.0,381.8,249.4,132.4,7236.8,0.0,7236.8,590.1185289690729,471.1380113505153,118.9805176185564,4510.2,2455.5,2054.7,14900.318528969074,4234.338011350515,10665.980517618556,48.56808923869832,30.269151570359433,14.639284359989588,71.58223159378673
1986-07-01,1986,3,1986Q3,2158.8,1041.5,1117.3,372.9,239.8,133.2,7199.0,0.0,7199.0,595.191565773197,475.13054350515375,120.06102226804504,4584.2,2498.0,2086.2,14910.091565773197,4254.430543505154,10655.661022268045,48.28273500697767,30.74561936643798,14.478784321859065,71.46610049483938
1986-10-01,1986,4,1986Q4,2170.5,1039.9,1130.6,359.0,230.2,128.8,7145.5,0.0,7145.5,603.7284682577316,486.1479699690725,117.48049828865916,4630.9,2522.1,2108.9,14909.728468257732,4278.347969969072,10631.38049828866,47.92508472043947,31.059586429484725,14.557609178603858,71.30499070403918
1987-01-01,1987,1,1987Q1,2186.3,1050.3,1136.0,351.1,223.9,127.2,7069.0,0.0,7069.0,600.8110188453641,476.22888146391614,124.5821373814415,4712.7,2565.3,2147.4,14919.911018845363,4315.728881463916,10604.182137381442,47.37963913505339,31.5866495051303,14.653572646904403,71.0740306962105
1987-04-01,1987,2,1987Q2,2048.2,986.4,1061.7,549.8,340.8,209.0,6571.7,26.4,6545.3,895.3114857628832,607.4189500515467,287.7925357113407,4728.7,2451.0,2277.7,14793.611485762884,4412.118950051547,10381.39253571134,44.42255365651917,31.964473344124382,13.845165543053175,70.17530993707801
1987-07-01,1987,3,1987Q3,1737.0,845.8,891.1,581.7,363.7,218.0,6601.8,53.4,6548.3,960.9924388453604,663.8477384329897,297.0447004123718,4786.6,2476.8,2309.8,14667.89243884536,4403.54773843299,10264.244700412371,45.00851112404044,32.63318176047926,11.842192102526317,69.97811526995105
1987-10-01,1987,4,1987Q4,1969.7,944.3,1025.3,550.5,338.3,212.2,6486.2,31.3,6454.9,798.4042537113397,588.2297158247422,210.07453788659805,4873.9,2529.5,2344.3,14678.70425371134,4431.829715824742,10246.774537886598,44.18782399243476,33.20388445572565,13.41875935338083,69.80755363913978
1988-01-01,1988,1,1988Q1,2054.4,1001.6,1052.9,549.1,322.9,226.2,6433.1,25.7,6407.4,786.7181567835036,574.2519894226789,212.4661673608265,4909.8,2571.9,2337.9,14733.218156783503,4496.351989422679,10236.866167360826,43.663915999493,33.32469490203957,13.94400040872339,69.48153525200836
1988-04-01,1988,2,1988Q2,2101.6,1027.7,1074.0,585.7,350.9,234.8,6472.8,21.7,6451.1,801.7362903402088,568.6837791443295,232.85251119587448,4915.1,2580.5,2334.6,14876.936290340209,4549.48377914433,10327.352511195875,43.50895825374257,33.038388442864004,14.126564495437119,69.41901026296571
1988-07-01,1988,3,1988Q3,1841.2,880.3,960.9,608.2,363.1,245.1,6470.9,32.0,6438.9,910.1442277002084,645.7773371265969,264.46689057360817,4995.3,2603.2,2392.1,14825.844227700209,4524.4773371265965,10301.466890573609,43.646081131150325,33.69319091230512,12.418854344631193,69.48270364680556
1988-10-01,1988,4,1988Q4,2103.4,1005.3,1098.0,593.3,356.3,237.0,6494.9,27.4,6467.6,784.7497984494843,577.7711100144337,206.97868843505057,5010.4,2618.0,2392.4,14986.749798449484,4584.771110014433,10401.97868843505,43.33761547598504,33.43219889157268,14.03506449555604,69.4078357771158
1989-01-01,1989,1,1989Q1,2176.4,1038.5,1137.9,595.4,361.6,233.8,6450.6,29.1,6421.5,784.0020125478371,581.2797234787628,202.82228906907292,5050.0,2635.7,2414.3,15056.402012547836,4646.179723478763,10410.322289069072,42.84290492923969,33.54054969966521,14.45498066660423,69.14170555945388
1989-04-01,1989,2,1989Q2,2291.8,1102.7,1189.1,568.3,343.1,225.2,6422.3,25.2,6397.1,789.0884761496909,574.5962544354632,214.29222171422697,5060.5,2652.7,2407.8,15131.98847614969,4698.396254435464,10433.392221714226,42.44187741830837,33.442399245651785,15.145398792843547,68.95015905197891
1989-07-01,1989,3,1989Q3,2102.4,1005.0,1097.4,571.0,342.9,228.1,6432.4,30.3,6402.1,836.4014376556704,592.3194686505154,244.28196900515545,5146.8,2684.6,2462.2,15089.10143765567,4655.119468650515,10434.081969005156,42.629443685411225,34.10938697221481,13.933235247218544,69.14933180603256
1989-10-01,1989,4,1989Q4,2299.9,1080.5,1219.5,580.5,338.2,242.3,6331.5,23.6,6307.9,747.2226172379371,544.5601557278353,202.76246151010452,5190.6,2709.4,2481.2,15149.722617237938,4696.160155727835,10453.562461510104,41.792844397004174,34.26201344501143,15.181136038643277,69.00167564530612
1990-01-01,1990,1,1990Q1,2376.0,1110.0,1266.0,582.9,346.2,236.7,6263.4,19.3,6244.1,741.3971850416499,533.0321643381452,208.3650207035047,5192.4,2703.8,2488.6,15155.99718504165,4712.232164338146,10443.765020703504,41.326215118208914,34.25970549219082,15.6769625316704,68.90846503330756
1990-04-01,1990,2,1990Q2,2390.3,1127.9,1262.5,592.2,354.4,237.8,6229.2,19.2,6209.9,761.4326231088668,542.1933588725763,219.23926423628876,5236.5,2722.3,2514.2,15209.632623108866,4765.993358872576,10443.639264236288,40.955624335959435,34.428839471401076,15.715698460515611,68.66463854208202
1990-07-01,1990,3,1990Q3,2129.8,995.6,1134.3,567.8,338.7,229.1,6289.6,42.0,6247.6,903.3701172247428,608.2590474037106,295.01106982103084,5283.7,2750.5,2533.2,15174.270117224743,4735.059047403711,10439.21106982103,41.4491105760698,34.82012616871979,14.035600945197382,68.79547410963238
1990-10-01,1990,4,1990Q4,2387.9,1098.2,1289.8,576.6,342.7,233.9,6148.1,24.9,6123.3,731.543471672168,524.86735073608,206.77612093608116,5327.5,2766.4,2561.1,15171.743471672167,4756.96735073608,10414.876120936082,40.523358514988004,35.11461955540713,15.739127177166907,68.64608206894589
1991-01-01,1991,1,1991Q1,2463.8,1126.8,1337.0,599.6,360.6,239.0,6149.6,26.6,6123.0,757.5783081907241,547.2028587995877,210.475449391134,5298.9,2762.0,2536.8,15269.378308190724,4823.102858799588,10446.275449391134,40.27406929004609,34.702788109962476,16.13556197424476,68.41323358782458
1991-04-01,1991,2,1991Q2,2503.2,1154.0,1349.2,593.0,358.4,234.6,6146.6,25.3,6121.3,773.6387145612359,544.2757553600017,229.3629592012352,5324.0,2776.8,2547.2,15340.338714561236,4858.675755360002,10481.662959201236,40.068215665704784,34.705882960370324,16.31776225138974,68.32745452518537
1991-07-01,1991,3,1991Q3,2263.3,1042.7,1220.6,591.7,352.4,239.3,6158.7,37.7,6121.0,906.4195790705164,622.6628767861864,283.6567022843301,5361.4,2798.9,2562.6,15281.519579070517,4854.3628767861865,10427.15670228433,40.30162032076261,35.084207249539126,14.810699867176844,68.2337685616377
1991-10-01,1991,4,1991Q4,2522.5,1165.8,1356.8,589.9,355.0,234.9,6074.9,31.1,6043.7,801.1922287756668,567.8030356503089,233.38919312536163,5399.1,2815.9,2583.1,15387.492228775667,4935.603035650309,10451.889193125362,39.47946754208278,35.08758880087889,16.393184558577726,67.92457820761469
