Sexo;Grupo de edad (5);Periodo;Total
ambos sexos;total;1995TIV;15.493,8
ambos sexos;total;1995TIII;15.420,7
ambos sexos;total;1995TII;15.495,1
ambos sexos;total;1995TI;15.438,1
ambos sexos;total;1994TIV;15.381,7
ambos sexos;total;1994TIII;15.318,9
ambos sexos;total;1994TII;15.273,2
ambos sexos;total;1994TI;15.272,1
ambos sexos;total;1993TIV;15.199,1
ambos sexos;total;1993TIII;15.179,2
ambos sexos;total;1993TII;15.246,9
ambos sexos;total;1993TI;15.272,3
ambos sexos;total;1992TIV;15.157,7
ambos sexos;total;1992TIII;15.081,7
ambos sexos;total;1992TII;15.100,0
ambos sexos;total;1992TI;15.043,4
ambos sexos;total;1991TIV;14.920,1
ambos sexos;total;1991TIII;14.822,5
ambos sexos;total;1991TII;14.899,5
ambos sexos;total;1991TI;14.829,0
ambos sexos;total;1990TIV;14.738,3
ambos sexos;total;1990TIII;14.742,7
ambos sexos;total;1990TII;14.767,8
ambos sexos;total;1990TI;14.716,4
ambos sexos;total;1989TIV;14.705,7
ambos sexos;total;1989TIII;14.647,5
ambos sexos;total;1989TII;14.675,4
ambos sexos;total;1989TI;14.596,3
ambos sexos;total;1988TIV;14.539,4
ambos sexos;total;1988TIII;14.376,6
ambos sexos;total;1988TII;14.431,5
ambos sexos;total;1988TI;14.287,9
ambos sexos;total;1987TIV;14.238,9
ambos sexos;total;1987TIII;14.231,8
ambos sexos;total;1987TII;14.371,6
ambos sexos;total;1987TI;14.507,8
ambos sexos;total;1986TIV;14.496,1
ambos sexos;total;1986TIII;14.512,4
ambos sexos;total;1986TII;14.498,2
ambos sexos;total;1986TI;14.428,1
ambos sexos;total;1985TIV;14.378,6
ambos sexos;total;1985TIII;14.347,3
ambos sexos;total;1985TII;14.307,0
ambos sexos;total;1985TI;14.155,9
ambos sexos;total;1984TIV;14.051,7
ambos sexos;total;1984TIII;14.011,5
ambos sexos;total;1984TII;13.994,0
ambos sexos;total;1984TI;13.853,2
ambos sexos;total;1983TIV;13.716,7
ambos sexos;total;1983TIII;13.676,2
ambos sexos;total;1983TII;13.720,4
ambos sexos;total;1983TI;13.637,8
ambos sexos;total;1982TIV;13.538,6
ambos sexos;total;1982TIII;13.504,9
ambos sexos;total;1982TII;13.553,6
ambos sexos;total;1982TI;13.465,4
ambos sexos;total;1981TIV;13.362,7
ambos sexos;total;1981TIII;13.332,5
ambos sexos;total;1981TII;13.323,8
ambos sexos;total;1981TI;13.209,5
ambos sexos;total;1980TIV;13.109,1
ambos sexos;total;1980TIII;13.043,7
ambos sexos;total;1980TII;12.986,0
ambos sexos;total;1980TI;12.828,8
ambos sexos;total;1979TIV;12.726,6
ambos sexos;total;1979TIII;12.680,4
ambos sexos;total;1979TII;12.698,0
ambos sexos;total;1979TI;12.544,4
ambos sexos;total;1978TIV;12.478,7
ambos sexos;total;1978TIII;12.415,0
ambos sexos;total;1978TII;12.402,1
ambos sexos;total;1978TI;12.246,1
ambos sexos;total;1977TIV;12.157,0
ambos sexos;total;1977TIII;12.131,8
ambos sexos;total;1977TII;12.147,8
ambos sexos;total;1977TI;12.005,0
ambos sexos;total;1976TIV;11.904,3
ambos sexos;total;1976TIII;11.811,8
ambos sexos;de 16 a 19 años;1995TIV;1.829,7
ambos sexos;de 16 a 19 años;1995TIII;1.787,1
ambos sexos;de 16 a 19 años;1995TII;1.839,3
ambos sexos;de 16 a 19 años;1995TI;1.827,5
ambos sexos;de 16 a 19 años;1994TIV;1.829,4
ambos sexos;de 16 a 19 años;1994TIII;1.786,6
ambos sexos;de 16 a 19 años;1994TII;1.811,6
ambos sexos;de 16 a 19 años;1994TI;1.811,0
ambos sexos;de 16 a 19 años;1993TIV;1.796,6
ambos sexos;de 16 a 19 años;1993TIII;1.784,6
ambos sexos;de 16 a 19 años;1993TII;1.819,2
ambos sexos;de 16 a 19 años;1993TI;1.816,7
ambos sexos;de 16 a 19 años;1992TIV;1.792,4
ambos sexos;de 16 a 19 años;1992TIII;1.744,9
ambos sexos;de 16 a 19 años;1992TII;1.775,4
ambos sexos;de 16 a 19 años;1992TI;1.746,8
ambos sexos;de 16 a 19 años;1991TIV;1.747,8
ambos sexos;de 16 a 19 años;1991TIII;1.706,7
ambos sexos;de 16 a 19 años;1991TII;1.743,9
ambos sexos;de 16 a 19 años;1991TI;1.724,6
ambos sexos;de 16 a 19 años;1990TIV;1.684,9
ambos sexos;de 16 a 19 años;1990TIII;1.647,2
ambos sexos;de 16 a 19 años;1990TII;1.674,4
ambos sexos;de 16 a 19 años;1990TI;1.666,8
ambos sexos;de 16 a 19 años;1989TIV;1.653,5
ambos sexos;de 16 a 19 años;1989TIII;1.612,6
ambos sexos;de 16 a 19 años;1989TII;1.630,9
ambos sexos;de 16 a 19 años;1989TI;1.591,6
ambos sexos;de 16 a 19 años;1988TIV;1.558,7
ambos sexos;de 16 a 19 años;1988TIII;1.498,5
ambos sexos;de 16 a 19 años;1988TII;1.531,1
ambos sexos;de 16 a 19 años;1988TI;1.511,4
ambos sexos;de 16 a 19 años;1987TIV;1.487,0
ambos sexos;de 16 a 19 años;1987TIII;1.476,5
ambos sexos;de 16 a 19 años;1987TII;1.510,8
ambos sexos;de 16 a 19 años;1987TI;1.573,3
ambos sexos;de 16 a 19 años;1986TIV;1.587,2
ambos sexos;de 16 a 19 años;1986TIII;1.609,0
ambos sexos;de 16 a 19 años;1986TII;1.618,4
ambos sexos;de 16 a 19 años;1986TI;1.591,8
ambos sexos;de 16 a 19 años;1985TIV;1.570,5
ambos sexos;de 16 a 19 años;1985TIII;1.551,6
ambos sexos;de 16 a 19 años;1985TII;1.568,9
ambos sexos;de 16 a 19 años;1985TI;1.518,9
ambos sexos;de 16 a 19 años;1984TIV;1.494,5
ambos sexos;de 16 a 19 años;1984TIII;1.480,3
ambos sexos;de 16 a 19 años;1984TII;1.512,7
ambos sexos;de 16 a 19 años;1984TI;1.491,6
ambos sexos;de 16 a 19 años;1983TIV;1.468,3
ambos sexos;de 16 a 19 años;1983TIII;1.466,8
ambos sexos;de 16 a 19 años;1983TII;1.494,5
ambos sexos;de 16 a 19 años;1983TI;1.465,7
ambos sexos;de 16 a 19 años;1982TIV;1.415,6
ambos sexos;de 16 a 19 años;1982TIII;1.419,1
ambos sexos;de 16 a 19 años;1982TII;1.436,4
ambos sexos;de 16 a 19 años;1982TI;1.410,3
ambos sexos;de 16 a 19 años;1981TIV;1.384,6
ambos sexos;de 16 a 19 años;1981TIII;1.367,8
ambos sexos;de 16 a 19 años;1981TII;1.401,5
ambos sexos;de 16 a 19 años;1981TI;1.353,1
ambos sexos;de 16 a 19 años;1980TIV;1.325,8
ambos sexos;de 16 a 19 años;1980TIII;1.311,7
ambos sexos;de 16 a 19 años;1980TII;1.299,5
ambos sexos;de 16 a 19 años;1980TI;1.255,1
ambos sexos;de 16 a 19 años;1979TIV;1.228,6
ambos sexos;de 16 a 19 años;1979TIII;1.212,9
ambos sexos;de 16 a 19 años;1979TII;1.233,0
ambos sexos;de 16 a 19 años;1979TI;1.189,4
ambos sexos;de 16 a 19 años;1978TIV;1.160,3
ambos sexos;de 16 a 19 años;1978TIII;1.139,5
ambos sexos;de 16 a 19 años;1978TII;1.159,7
ambos sexos;de 16 a 19 años;1978TI;1.109,8
ambos sexos;de 16 a 19 años;1977TIV;1.078,4
ambos sexos;de 16 a 19 años;1977TIII;1.059,8
ambos sexos;de 16 a 19 años;1977TII;1.096,6
ambos sexos;de 16 a 19 años;1977TI;1.054,9
ambos sexos;de 16 a 19 años;1976TIV;1.037,4
ambos sexos;de 16 a 19 años;1976TIII;1.026,6
ambos sexos;de 20 a 24 años;1995TIV;1.236,9
ambos sexos;de 20 a 24 años;1995TIII;1.203,9
ambos sexos;de 20 a 24 años;1995TII;1.241,2
ambos sexos;de 20 a 24 años;1995TI;1.216,8
ambos sexos;de 20 a 24 años;1994TIV;1.191,6
ambos sexos;de 20 a 24 años;1994TIII;1.167,2
ambos sexos;de 20 a 24 años;1994TII;1.163,7
ambos sexos;de 20 a 24 años;1994TI;1.159,6
ambos sexos;de 20 a 24 años;1993TIV;1.151,2
ambos sexos;de 20 a 24 años;1993TIII;1.135,8
ambos sexos;de 20 a 24 años;1993TII;1.175,7
ambos sexos;de 20 a 24 años;1993TI;1.164,0
ambos sexos;de 20 a 24 años;1992TIV;1.127,4
ambos sexos;de 20 a 24 años;1992TIII;1.103,7
ambos sexos;de 20 a 24 años;1992TII;1.113,7
ambos sexos;de 20 a 24 años;1992TI;1.097,0
ambos sexos;de 20 a 24 años;1991TIV;1.049,0
ambos sexos;de 20 a 24 años;1991TIII;1.016,8
ambos sexos;de 20 a 24 años;1991TII;1.053,4
ambos sexos;de 20 a 24 años;1991TI;1.031,5
ambos sexos;de 20 a 24 años;1990TIV;992,5
ambos sexos;de 20 a 24 años;1990TIII;987,8
ambos sexos;de 20 a 24 años;1990TII;989,2
ambos sexos;de 20 a 24 años;1990TI;996,4
ambos sexos;de 20 a 24 años;1989TIV;977,9
ambos sexos;de 20 a 24 años;1989TIII;961,9
ambos sexos;de 20 a 24 años;1989TII;991,0
ambos sexos;de 20 a 24 años;1989TI;950,4
ambos sexos;de 20 a 24 años;1988TIV;942,9
ambos sexos;de 20 a 24 años;1988TIII;900,5
ambos sexos;de 20 a 24 años;1988TII;961,3
ambos sexos;de 20 a 24 años;1988TI;955,0
ambos sexos;de 20 a 24 años;1987TIV;944,3
ambos sexos;de 20 a 24 años;1987TIII;938,4
ambos sexos;de 20 a 24 años;1987TII;976,9
ambos sexos;de 20 a 24 años;1987TI;1.009,2
ambos sexos;de 20 a 24 años;1986TIV;1.021,6
ambos sexos;de 20 a 24 años;1986TIII;1.022,4
ambos sexos;de 20 a 24 años;1986TII;1.045,2
ambos sexos;de 20 a 24 años;1986TI;1.038,9
ambos sexos;de 20 a 24 años;1985TIV;1.037,9
ambos sexos;de 20 a 24 años;1985TIII;1.049,3
ambos sexos;de 20 a 24 años;1985TII;1.051,3
ambos sexos;de 20 a 24 años;1985TI;1.015,5
ambos sexos;de 20 a 24 años;1984TIV;977,1
ambos sexos;de 20 a 24 años;1984TIII;986,9
ambos sexos;de 20 a 24 años;1984TII;986,9
ambos sexos;de 20 a 24 años;1984TI;947,9
ambos sexos;de 20 a 24 años;1983TIV;942,9
ambos sexos;de 20 a 24 años;1983TIII;927,8
ambos sexos;de 20 a 24 años;1983TII;952,0
ambos sexos;de 20 a 24 años;1983TI;924,3
ambos sexos;de 20 a 24 años;1982TIV;918,8
ambos sexos;de 20 a 24 años;1982TIII;922,9
ambos sexos;de 20 a 24 años;1982TII;955,4
ambos sexos;de 20 a 24 años;1982TI;936,7
ambos sexos;de 20 a 24 años;1981TIV;918,1
ambos sexos;de 20 a 24 años;1981TIII;916,6
ambos sexos;de 20 a 24 años;1981TII;914,8
ambos sexos;de 20 a 24 años;1981TI;907,3
ambos sexos;de 20 a 24 años;1980TIV;891,6
ambos sexos;de 20 a 24 años;1980TIII;886,6
ambos sexos;de 20 a 24 años;1980TII;900,4
ambos sexos;de 20 a 24 años;1980TI;871,5
ambos sexos;de 20 a 24 años;1979TIV;853,7
ambos sexos;de 20 a 24 años;1979TIII;844,4
ambos sexos;de 20 a 24 años;1979TII;875,4
ambos sexos;de 20 a 24 años;1979TI;854,3
ambos sexos;de 20 a 24 años;1978TIV;837,1
ambos sexos;de 20 a 24 años;1978TIII;819,2
ambos sexos;de 20 a 24 años;1978TII;835,6
ambos sexos;de 20 a 24 años;1978TI;820,7
ambos sexos;de 20 a 24 años;1977TIV;807,6
ambos sexos;de 20 a 24 años;1977TIII;805,7
ambos sexos;de 20 a 24 años;1977TII;818,8
ambos sexos;de 20 a 24 años;1977TI;801,0
ambos sexos;de 20 a 24 años;1976TIV;784,8
ambos sexos;de 20 a 24 años;1976TIII;787,3
ambos sexos;de 25 a 54 años;1995TIV;4.100,4
ambos sexos;de 25 a 54 años;1995TIII;4.103,8
ambos sexos;de 25 a 54 años;1995TII;4.111,1
ambos sexos;de 25 a 54 años;1995TI;4.123,4
ambos sexos;de 25 a 54 años;1994TIV;4.100,2
ambos sexos;de 25 a 54 años;1994TIII;4.140,2
ambos sexos;de 25 a 54 años;1994TII;4.121,9
ambos sexos;de 25 a 54 años;1994TI;4.145,6
ambos sexos;de 25 a 54 años;1993TIV;4.150,7
ambos sexos;de 25 a 54 años;1993TIII;4.207,0
ambos sexos;de 25 a 54 años;1993TII;4.242,4
ambos sexos;de 25 a 54 años;1993TI;4.305,3
ambos sexos;de 25 a 54 años;1992TIV;4.292,5
ambos sexos;de 25 a 54 años;1992TIII;4.333,3
ambos sexos;de 25 a 54 años;1992TII;4.328,6
ambos sexos;de 25 a 54 años;1992TI;4.332,4
ambos sexos;de 25 a 54 años;1991TIV;4.304,7
ambos sexos;de 25 a 54 años;1991TIII;4.283,1
ambos sexos;de 25 a 54 años;1991TII;4.326,1
ambos sexos;de 25 a 54 años;1991TI;4.327,0
ambos sexos;de 25 a 54 años;1990TIV;4.318,2
ambos sexos;de 25 a 54 años;1990TIII;4.386,1
ambos sexos;de 25 a 54 años;1990TII;4.423,7
ambos sexos;de 25 a 54 años;1990TI;4.437,0
ambos sexos;de 25 a 54 años;1989TIV;4.487,8
ambos sexos;de 25 a 54 años;1989TIII;4.534,9
ambos sexos;de 25 a 54 años;1989TII;4.558,8
ambos sexos;de 25 a 54 años;1989TI;4.584,8
ambos sexos;de 25 a 54 años;1988TIV;4.622,5
ambos sexos;de 25 a 54 años;1988TIII;4.607,3
ambos sexos;de 25 a 54 años;1988TII;4.603,3
ambos sexos;de 25 a 54 años;1988TI;4.558,3
ambos sexos;de 25 a 54 años;1987TIV;4.599,6
ambos sexos;de 25 a 54 años;1987TIII;4.666,2
ambos sexos;de 25 a 54 años;1987TII;4.774,1
ambos sexos;de 25 a 54 años;1987TI;4.887,0
ambos sexos;de 25 a 54 años;1986TIV;4.910,8
ambos sexos;de 25 a 54 años;1986TIII;4.964,2
ambos sexos;de 25 a 54 años;1986TII;4.977,0
ambos sexos;de 25 a 54 años;1986TI;4.988,5
ambos sexos;de 25 a 54 años;1985TIV;5.017,1
ambos sexos;de 25 a 54 años;1985TIII;5.045,6
ambos sexos;de 25 a 54 años;1985TII;5.042,3
ambos sexos;de 25 a 54 años;1985TI;5.019,6
ambos sexos;de 25 a 54 años;1984TIV;5.043,9
ambos sexos;de 25 a 54 años;1984TIII;5.060,3
ambos sexos;de 25 a 54 años;1984TII;5.061,8
ambos sexos;de 25 a 54 años;1984TI;5.043,5
ambos sexos;de 25 a 54 años;1983TIV;5.020,3
ambos sexos;de 25 a 54 años;1983TIII;5.044,0
ambos sexos;de 25 a 54 años;1983TII;5.069,1
ambos sexos;de 25 a 54 años;1983TI;5.071,9
ambos sexos;de 25 a 54 años;1982TIV;5.088,3
ambos sexos;de 25 a 54 años;1982TIII;5.094,9
ambos sexos;de 25 a 54 años;1982TII;5.134,4
ambos sexos;de 25 a 54 años;1982TI;5.142,2
ambos sexos;de 25 a 54 años;1981TIV;5.143,8
ambos sexos;de 25 a 54 años;1981TIII;5.190,2
ambos sexos;de 25 a 54 años;1981TII;5.196,5
ambos sexos;de 25 a 54 años;1981TI;5.180,6
ambos sexos;de 25 a 54 años;1980TIV;5.143,2
ambos sexos;de 25 a 54 años;1980TIII;5.137,6
ambos sexos;de 25 a 54 años;1980TII;5.112,5
ambos sexos;de 25 a 54 años;1980TI;5.066,0
ambos sexos;de 25 a 54 años;1979TIV;5.063,6
ambos sexos;de 25 a 54 años;1979TIII;5.086,7
ambos sexos;de 25 a 54 años;1979TII;5.105,5
ambos sexos;de 25 a 54 años;1979TI;5.065,6
ambos sexos;de 25 a 54 años;1978TIV;5.107,1
ambos sexos;de 25 a 54 años;1978TIII;5.112,0
ambos sexos;de 25 a 54 años;1978TII;5.100,9
ambos sexos;de 25 a 54 años;1978TI;5.045,7
ambos sexos;de 25 a 54 años;1977TIV;5.048,6
ambos sexos;de 25 a 54 años;1977TIII;5.084,7
ambos sexos;de 25 a 54 años;1977TII;5.082,1
ambos sexos;de 25 a 54 años;1977TI;5.049,6
ambos sexos;de 25 a 54 años;1976TIV;5.053,9
ambos sexos;de 25 a 54 años;1976TIII;5.031,5
ambos sexos;de 55 y más años;1995TIV;8.326,8
ambos sexos;de 55 y más años;1995TIII;8.325,9
ambos sexos;de 55 y más años;1995TII;8.303,5
ambos sexos;de 55 y más años;1995TI;8.270,4
ambos sexos;de 55 y más años;1994TIV;8.260,5
ambos sexos;de 55 y más años;1994TIII;8.225,0
ambos sexos;de 55 y más años;1994TII;8.176,0
ambos sexos;de 55 y más años;1994TI;8.156,0
ambos sexos;de 55 y más años;1993TIV;8.100,6
ambos sexos;de 55 y más años;1993TIII;8.051,8
ambos sexos;de 55 y más años;1993TII;8.009,6
ambos sexos;de 55 y más años;1993TI;7.986,3
ambos sexos;de 55 y más años;1992TIV;7.945,4
ambos sexos;de 55 y más años;1992TIII;7.899,8
ambos sexos;de 55 y más años;1992TII;7.882,3
ambos sexos;de 55 y más años;1992TI;7.867,3
ambos sexos;de 55 y más años;1991TIV;7.818,7
ambos sexos;de 55 y más años;1991TIII;7.816,0
ambos sexos;de 55 y más años;1991TII;7.776,1
ambos sexos;de 55 y más años;1991TI;7.745,9
ambos sexos;de 55 y más años;1990TIV;7.742,7
ambos sexos;de 55 y más años;1990TIII;7.721,6
ambos sexos;de 55 y más años;1990TII;7.680,5
ambos sexos;de 55 y más años;1990TI;7.616,3
ambos sexos;de 55 y más años;1989TIV;7.586,5
ambos sexos;de 55 y más años;1989TIII;7.538,2
ambos sexos;de 55 y más años;1989TII;7.494,8
ambos sexos;de 55 y más años;1989TI;7.469,5
ambos sexos;de 55 y más años;1988TIV;7.415,3
ambos sexos;de 55 y más años;1988TIII;7.370,2
ambos sexos;de 55 y más años;1988TII;7.335,9
ambos sexos;de 55 y más años;1988TI;7.263,2
ambos sexos;de 55 y más años;1987TIV;7.208,0
ambos sexos;de 55 y más años;1987TIII;7.150,7
ambos sexos;de 55 y más años;1987TII;7.109,8
ambos sexos;de 55 y más años;1987TI;7.038,2
ambos sexos;de 55 y más años;1986TIV;6.976,6
ambos sexos;de 55 y más años;1986TIII;6.916,7
ambos sexos;de 55 y más años;1986TII;6.857,7
ambos sexos;de 55 y más años;1986TI;6.808,9
ambos sexos;de 55 y más años;1985TIV;6.753,1
ambos sexos;de 55 y más años;1985TIII;6.700,8
ambos sexos;de 55 y más años;1985TII;6.644,6
ambos sexos;de 55 y más años;1985TI;6.601,9
ambos sexos;de 55 y más años;1984TIV;6.536,2
ambos sexos;de 55 y más años;1984TIII;6.484,0
ambos sexos;de 55 y más años;1984TII;6.432,5
ambos sexos;de 55 y más años;1984TI;6.370,3
ambos sexos;de 55 y más años;1983TIV;6.285,3
