Perceptores de ingresos que conviven con la persona de referencia;Según perciba o no ingresos la persona de referencia;Periodo;Total
Dos perceptores;Total;2008T3;112,4
Dos perceptores;Total;2008T2;99,3
Dos perceptores;Total;2008T1;90,2
Dos perceptores;Total;2007T4;70,3
Dos perceptores;Total;2007T3;70,1
Dos perceptores;Total;2007T2;75,5
Dos perceptores;Total;2007T1;75,4
Dos perceptores;Total;2006T4;78,1
Dos perceptores;Total;2006T3;77,4
Dos perceptores;Total;2006T2;71,4
Dos perceptores;Total;2006T1;79,8
Dos perceptores;Total;2005T4;64,7
Dos perceptores;Total;2005T3;68,5
Dos perceptores;Total;2005T2;72,3
Dos perceptores;Total;2005T1;74,3
Dos perceptores;Total;2004T4;64,9
Dos perceptores;Total;2004T3;56,6
Dos perceptores;Total;2004T2;59
Dos perceptores;Total;2004T1;61,7
Dos perceptores;Total;2003T4;54,6
Dos perceptores;Total;2003T3;57,1
Dos perceptores;Total;2003T2;57,3
Dos perceptores;Total;2003T1;61,2
Dos perceptores;Total;2002T4;61,3
Dos perceptores;Total;2002T3;52,1
Dos perceptores;Total;2002T2;60,1
Dos perceptores;Total;2002T1;65,4
Dos perceptores;Perceptora de ingresos;2025T4;54
Dos perceptores;Perceptora de ingresos;2025T3;66
Dos perceptores;Perceptora de ingresos;2025T2;57,5
Dos perceptores;Perceptora de ingresos;2025T1;57,3
Dos perceptores;Perceptora de ingresos;2024T4;64,3
Dos perceptores;Perceptora de ingresos;2024T3;57,7
Dos perceptores;Perceptora de ingresos;2024T2;76,7
Dos perceptores;Perceptora de ingresos;2024T1;77,4
Dos perceptores;Perceptora de ingresos;2023T4;57,8
Dos perceptores;Perceptora de ingresos;2023T3;72,8
Dos perceptores;Perceptora de ingresos;2023T2;68,7
Dos perceptores;Perceptora de ingresos;2023T1;77,9
Dos perceptores;Perceptora de ingresos;2022T4;62,8
Dos perceptores;Perceptora de ingresos;2022T3;70,8
Dos perceptores;Perceptora de ingresos;2022T2;67,1
Dos perceptores;Perceptora de ingresos;2022T1;94,3
Dos perceptores;Perceptora de ingresos;2021T4;70,9
Dos perceptores;Perceptora de ingresos;2021T3;76,9
Dos perceptores;Perceptora de ingresos;2021T2;77,3
Dos perceptores;Perceptora de ingresos;2021T1;71,3
Dos perceptores;Perceptora de ingresos;2020T4;55,8
Dos perceptores;Perceptora de ingresos;2020T3;54
Dos perceptores;Perceptora de ingresos;2020T2;57,8
Dos perceptores;Perceptora de ingresos;2020T1;56,3
Dos perceptores;Perceptora de ingresos;2019T4;56,4
Dos perceptores;Perceptora de ingresos;2019T3;50,8
Dos perceptores;Perceptora de ingresos;2019T2;60,1
Dos perceptores;Perceptora de ingresos;2019T1;48,2
Dos perceptores;Perceptora de ingresos;2018T4;42
Dos perceptores;Perceptora de ingresos;2018T3;43,2
Dos perceptores;Perceptora de ingresos;2018T2;50,1
Dos perceptores;Perceptora de ingresos;2018T1;55,6
Dos perceptores;Perceptora de ingresos;2017T4;54,2
Dos perceptores;Perceptora de ingresos;2017T3;51,3
Dos perceptores;Perceptora de ingresos;2017T2;51,1
Dos perceptores;Perceptora de ingresos;2017T1;59,8
Dos perceptores;Perceptora de ingresos;2016T4;68,9
Dos perceptores;Perceptora de ingresos;2016T3;63,9
Dos perceptores;Perceptora de ingresos;2016T2;62,9
Dos perceptores;Perceptora de ingresos;2016T1;69,9
Dos perceptores;Perceptora de ingresos;2015T4;76
Dos perceptores;Perceptora de ingresos;2015T3;77,2
Dos perceptores;Perceptora de ingresos;2015T2;68
Dos perceptores;Perceptora de ingresos;2015T1;76,2
Dos perceptores;Perceptora de ingresos;2014T4;72,2
Dos perceptores;Perceptora de ingresos;2014T3;73,1
Dos perceptores;Perceptora de ingresos;2014T2;70,9
Dos perceptores;Perceptora de ingresos;2014T1;83,8
Dos perceptores;Perceptora de ingresos;2013T4;98,3
Dos perceptores;Perceptora de ingresos;2013T3;99,1
Dos perceptores;Perceptora de ingresos;2013T2;87,4
Dos perceptores;Perceptora de ingresos;2013T1;94,6
Dos perceptores;Perceptora de ingresos;2012T4;95,9
Dos perceptores;Perceptora de ingresos;2012T3;104,9
Dos perceptores;Perceptora de ingresos;2012T2;98,9
Dos perceptores;Perceptora de ingresos;2012T1;99,2
Dos perceptores;Perceptora de ingresos;2011T4;89,8
Dos perceptores;Perceptora de ingresos;2011T3;93,3
Dos perceptores;Perceptora de ingresos;2011T2;89,7
Dos perceptores;Perceptora de ingresos;2011T1;90,8
Dos perceptores;Perceptora de ingresos;2010T4;99
Dos perceptores;Perceptora de ingresos;2010T3;89,8
Dos perceptores;Perceptora de ingresos;2010T2;99,5
Dos perceptores;Perceptora de ingresos;2010T1;96,1
Dos perceptores;Perceptora de ingresos;2009T4;85,7
Dos perceptores;Perceptora de ingresos;2009T3;81,7
Dos perceptores;Perceptora de ingresos;2009T2;83,5
Dos perceptores;Perceptora de ingresos;2009T1;76,4
Dos perceptores;Perceptora de ingresos;2008T4;55,1
Dos perceptores;Perceptora de ingresos;2008T3;53,9
Dos perceptores;Perceptora de ingresos;2008T2;41,2
Dos perceptores;Perceptora de ingresos;2008T1;38
Dos perceptores;Perceptora de ingresos;2007T4;26,9
Dos perceptores;Perceptora de ingresos;2007T3;26,4
Dos perceptores;Perceptora de ingresos;2007T2;34
Dos perceptores;Perceptora de ingresos;2007T1;31,7
Dos perceptores;Perceptora de ingresos;2006T4;27,2
Dos perceptores;Perceptora de ingresos;2006T3;28
Dos perceptores;Perceptora de ingresos;2006T2;24
Dos perceptores;Perceptora de ingresos;2006T1;31,6
Dos perceptores;Perceptora de ingresos;2005T4;26
Dos perceptores;Perceptora de ingresos;2005T3;34,2
Dos perceptores;Perceptora de ingresos;2005T2;38
Dos perceptores;Perceptora de ingresos;2005T1;37,7
Dos perceptores;Perceptora de ingresos;2004T4;28,9
Dos perceptores;Perceptora de ingresos;2004T3;27,1
Dos perceptores;Perceptora de ingresos;2004T2;27,7
Dos perceptores;Perceptora de ingresos;2004T1;31,3
Dos perceptores;Perceptora de ingresos;2003T4;27,2
Dos perceptores;Perceptora de ingresos;2003T3;25,8
Dos perceptores;Perceptora de ingresos;2003T2;23,5
Dos perceptores;Perceptora de ingresos;2003T1;26,5
Dos perceptores;Perceptora de ingresos;2002T4;32,6
Dos perceptores;Perceptora de ingresos;2002T3;28
Dos perceptores;Perceptora de ingresos;2002T2;26,4
Dos perceptores;Perceptora de ingresos;2002T1;31,6
Dos perceptores;No perceptora de ingresos;2025T4;74,3
Dos perceptores;No perceptora de ingresos;2025T3;78,8
Dos perceptores;No perceptora de ingresos;2025T2;89,4
Dos perceptores;No perceptora de ingresos;2025T1;87,5
Dos perceptores;No perceptora de ingresos;2024T4;83,8
Dos perceptores;No perceptora de ingresos;2024T3;88,1
Dos perceptores;No perceptora de ingresos;2024T2;90,7
Dos perceptores;No perceptora de ingresos;2024T1;86
Dos perceptores;No perceptora de ingresos;2023T4;81,7
Dos perceptores;No perceptora de ingresos;2023T3;79,6
Dos perceptores;No perceptora de ingresos;2023T2;94,1
Dos perceptores;No perceptora de ingresos;2023T1;90,2
Dos perceptores;No perceptora de ingresos;2022T4;83,7
Dos perceptores;No perceptora de ingresos;2022T3;85,3
Dos perceptores;No perceptora de ingresos;2022T2;100
Dos perceptores;No perceptora de ingresos;2022T1;100,8
Dos perceptores;No perceptora de ingresos;2021T4;98,6
Dos perceptores;No perceptora de ingresos;2021T3;97,8
Dos perceptores;No perceptora de ingresos;2021T2;104,9
Dos perceptores;No perceptora de ingresos;2021T1;88,1
Dos perceptores;No perceptora de ingresos;2020T4;80,8
Dos perceptores;No perceptora de ingresos;2020T3;72,5
Dos perceptores;No perceptora de ingresos;2020T2;50,4
Dos perceptores;No perceptora de ingresos;2020T1;62,4
Dos perceptores;No perceptora de ingresos;2019T4;65,5
Dos perceptores;No perceptora de ingresos;2019T3;60,7
Dos perceptores;No perceptora de ingresos;2019T2;64
Dos perceptores;No perceptora de ingresos;2019T1;74,9
Dos perceptores;No perceptora de ingresos;2018T4;73,5
Dos perceptores;No perceptora de ingresos;2018T3;76,8
Dos perceptores;No perceptora de ingresos;2018T2;83
Dos perceptores;No perceptora de ingresos;2018T1;89
Dos perceptores;No perceptora de ingresos;2017T4;75,2
Dos perceptores;No perceptora de ingresos;2017T3;82,5
Dos perceptores;No perceptora de ingresos;2017T2;82,1
Dos perceptores;No perceptora de ingresos;2017T1;91,1
Dos perceptores;No perceptora de ingresos;2016T4;87,3
Dos perceptores;No perceptora de ingresos;2016T3;91
Dos perceptores;No perceptora de ingresos;2016T2;88,6
Dos perceptores;No perceptora de ingresos;2016T1;85,3
Dos perceptores;No perceptora de ingresos;2015T4;80,1
Dos perceptores;No perceptora de ingresos;2015T3;79,5
Dos perceptores;No perceptora de ingresos;2015T2;81,8
Dos perceptores;No perceptora de ingresos;2015T1;93,1
Dos perceptores;No perceptora de ingresos;2014T4;95,5
Dos perceptores;No perceptora de ingresos;2014T3;100,6
Dos perceptores;No perceptora de ingresos;2014T2;109,1
Dos perceptores;No perceptora de ingresos;2014T1;108,3
Dos perceptores;No perceptora de ingresos;2013T4;88,4
Dos perceptores;No perceptora de ingresos;2013T3;101,6
Dos perceptores;No perceptora de ingresos;2013T2;103,1
Dos perceptores;No perceptora de ingresos;2013T1;105,4
Dos perceptores;No perceptora de ingresos;2012T4;101,3
Dos perceptores;No perceptora de ingresos;2012T3;89,4
Dos perceptores;No perceptora de ingresos;2012T2;88,6
Dos perceptores;No perceptora de ingresos;2012T1;88,2
Dos perceptores;No perceptora de ingresos;2011T4;86
Dos perceptores;No perceptora de ingresos;2011T3;89,7
Dos perceptores;No perceptora de ingresos;2011T2;81,5
Dos perceptores;No perceptora de ingresos;2011T1;87,5
Dos perceptores;No perceptora de ingresos;2010T4;75
Dos perceptores;No perceptora de ingresos;2010T3;65,9
Dos perceptores;No perceptora de ingresos;2010T2;75,8
Dos perceptores;No perceptora de ingresos;2010T1;80,4
Dos perceptores;No perceptora de ingresos;2009T4;74
Dos perceptores;No perceptora de ingresos;2009T3;81,7
Dos perceptores;No perceptora de ingresos;2009T2;79,6
Dos perceptores;No perceptora de ingresos;2009T1;83,4
Dos perceptores;No perceptora de ingresos;2008T4;67,8
Dos perceptores;No perceptora de ingresos;2008T3;58,5
Dos perceptores;No perceptora de ingresos;2008T2;58,2
Dos perceptores;No perceptora de ingresos;2008T1;52,2
Dos perceptores;No perceptora de ingresos;2007T4;43,4
Dos perceptores;No perceptora de ingresos;2007T3;43,7
Dos perceptores;No perceptora de ingresos;2007T2;41,5
Dos perceptores;No perceptora de ingresos;2007T1;43,6
Dos perceptores;No perceptora de ingresos;2006T4;50,9
Dos perceptores;No perceptora de ingresos;2006T3;49,4
Dos perceptores;No perceptora de ingresos;2006T2;47,4
Dos perceptores;No perceptora de ingresos;2006T1;48,2
Dos perceptores;No perceptora de ingresos;2005T4;38,7
Dos perceptores;No perceptora de ingresos;2005T3;34,3
Dos perceptores;No perceptora de ingresos;2005T2;34,3
Dos perceptores;No perceptora de ingresos;2005T1;36,6
Dos perceptores;No perceptora de ingresos;2004T4;36
Dos perceptores;No perceptora de ingresos;2004T3;29,5
Dos perceptores;No perceptora de ingresos;2004T2;31,3
Dos perceptores;No perceptora de ingresos;2004T1;30,5
Dos perceptores;No perceptora de ingresos;2003T4;27,4
Dos perceptores;No perceptora de ingresos;2003T3;31,3
Dos perceptores;No perceptora de ingresos;2003T2;33,8
Dos perceptores;No perceptora de ingresos;2003T1;34,7
Dos perceptores;No perceptora de ingresos;2002T4;28,7
Dos perceptores;No perceptora de ingresos;2002T3;24
Dos perceptores;No perceptora de ingresos;2002T2;33,8
Dos perceptores;No perceptora de ingresos;2002T1;33,8
Tres perceptores;Total;2025T4;35,4
Tres perceptores;Total;2025T3;37,7
Tres perceptores;Total;2025T2;36,1
Tres perceptores;Total;2025T1;36,7
Tres perceptores;Total;2024T4;31,3
Tres perceptores;Total;2024T3;35,4
Tres perceptores;Total;2024T2;40,7
Tres perceptores;Total;2024T1;37,7
Tres perceptores;Total;2023T4;27,3
Tres perceptores;Total;2023T3;36
Tres perceptores;Total;2023T2;33
Tres perceptores;Total;2023T1;32,7
Tres perceptores;Total;2022T4;39
Tres perceptores;Total;2022T3;30,9
Tres perceptores;Total;2022T2;35,6
Tres perceptores;Total;2022T1;40,7
Tres perceptores;Total;2021T4;32
Tres perceptores;Total;2021T3;45,3
Tres perceptores;Total;2021T2;33,6
Tres perceptores;Total;2021T1;31,5
Tres perceptores;Total;2020T4;27,2
Tres perceptores;Total;2020T3;16,8
Tres perceptores;Total;2020T2;26
Tres perceptores;Total;2020T1;24,3
Tres perceptores;Total;2019T4;25,6
Tres perceptores;Total;2019T3;28,7
Tres perceptores;Total;2019T2;32,9
Tres perceptores;Total;2019T1;34,3
Tres perceptores;Total;2018T4;32,7
Tres perceptores;Total;2018T3;28,3
Tres perceptores;Total;2018T2;31,2
Tres perceptores;Total;2018T1;29,7
Tres perceptores;Total;2017T4;27,5
Tres perceptores;Total;2017T3;26,3
Tres perceptores;Total;2017T2;23,7
Tres perceptores;Total;2017T1;23,3
Tres perceptores;Total;2016T4;29,7
Tres perceptores;Total;2016T3;27,9
Tres perceptores;Total;2016T2;31,8
Tres perceptores;Total;2016T1;28,4
Tres perceptores;Total;2015T4;27
Tres perceptores;Total;2015T3;30,8
Tres perceptores;Total;2015T2;35
Tres perceptores;Total;2015T1;28,6
Tres perceptores;Total;2014T4;32,9
Tres perceptores;Total;2014T3;35,9
Tres perceptores;Total;2014T2;35,4
Tres perceptores;Total;2014T1;27
Tres perceptores;Total;2013T4;33,1
Tres perceptores;Total;2013T3;36,6
Tres perceptores;Total;2013T2;40,3
Tres perceptores;Total;2013T1;41,8
Tres perceptores;Total;2012T4;40,5
Tres perceptores;Total;2012T3;49,9
Tres perceptores;Total;2012T2;43,4
Tres perceptores;Total;2012T1;40,3
Tres perceptores;Total;2011T4;46,3
Tres perceptores;Total;2011T3;55,7
Tres perceptores;Total;2011T2;35,7
Tres perceptores;Total;2011T1;48,3
Tres perceptores;Total;2010T4;38,5
Tres perceptores;Total;2010T3;37,9
Tres perceptores;Total;2010T2;46,6
Tres perceptores;Total;2010T1;51,1
Tres perceptores;Total;2009T4;45,5
Tres perceptores;Total;2009T3;38
Tres perceptores;Total;2009T2;40,2
Tres perceptores;Total;2009T1;38,5
Tres perceptores;Total;2008T4;36,7
Tres perceptores;Total;2008T3;30,3
Tres perceptores;Total;2008T2;31,9
Tres perceptores;Total;2008T1;32,4
Tres perceptores;Total;2007T4;27,9
Tres perceptores;Total;2007T3;29,1
Tres perceptores;Total;2007T2;27,5
Tres perceptores;Total;2007T1;26,2
Tres perceptores;Total;2006T4;32,9
Tres perceptores;Total;2006T3;25,6
Tres perceptores;Total;2006T2;21,4
Tres perceptores;Total;2006T1;21,8
Tres perceptores;Total;2005T4;26,4
Tres perceptores;Total;2005T3;16,7
Tres perceptores;Total;2005T2;17,4
Tres perceptores;Total;2005T1;20,6
Tres perceptores;Total;2004T4;19,1
Tres perceptores;Total;2004T3;24,7
Tres perceptores;Total;2004T2;21
Tres perceptores;Total;2004T1;15,7
Tres perceptores;Total;2003T4;17,4
Tres perceptores;Total;2003T3;16,8
Tres perceptores;Total;2003T2;13
Tres perceptores;Total;2003T1;13,4
Tres perceptores;Total;2002T4;12,4
Tres perceptores;Total;2002T3;17
Tres perceptores;Total;2002T2;17,3
Tres perceptores;Total;2002T1;16,5
Tres perceptores;Perceptora de ingresos;2025T4;18
Tres perceptores;Perceptora de ingresos;2025T3;22,7
Tres perceptores;Perceptora de ingresos;2025T2;19,2
Tres perceptores;Perceptora de ingresos;2025T1;17,4
Tres perceptores;Perceptora de ingresos;2024T4;13,7
Tres perceptores;Perceptora de ingresos;2024T3;13,3
Tres perceptores;Perceptora de ingresos;2024T2;16,4
Tres perceptores;Perceptora de ingresos;2024T1;21,4
Tres perceptores;Perceptora de ingresos;2023T4;11,4
Tres perceptores;Perceptora de ingresos;2023T3;10,9
Tres perceptores;Perceptora de ingresos;2023T2;11,7
Tres perceptores;Perceptora de ingresos;2023T1;14,2
Tres perceptores;Perceptora de ingresos;2022T4;15,2
Tres perceptores;Perceptora de ingresos;2022T3;13,2
Tres perceptores;Perceptora de ingresos;2022T2;14,1
Tres perceptores;Perceptora de ingresos;2022T1;19,8
Tres perceptores;Perceptora de ingresos;2021T4;12,2
Tres perceptores;Perceptora de ingresos;2021T3;20,7
Tres perceptores;Perceptora de ingresos;2021T2;18,9
Tres perceptores;Perceptora de ingresos;2021T1;15,1
Tres perceptores;Perceptora de ingresos;2020T4;12
Tres perceptores;Perceptora de ingresos;2020T3;8,2
Tres perceptores;Perceptora de ingresos;2020T2;15,6
Tres perceptores;Perceptora de ingresos;2020T1;13
Tres perceptores;Perceptora de ingresos;2019T4;11,5
Tres perceptores;Perceptora de ingresos;2019T3;10,1
Tres perceptores;Perceptora de ingresos;2019T2;16,7
Tres perceptores;Perceptora de ingresos;2019T1;13
Tres perceptores;Perceptora de ingresos;2018T4;13,5
Tres perceptores;Perceptora de ingresos;2018T3;10,4
Tres perceptores;Perceptora de ingresos;2018T2;14
Tres perceptores;Perceptora de ingresos;2018T1;15,3
Tres perceptores;Perceptora de ingresos;2017T4;9,6
Tres perceptores;Perceptora de ingresos;2017T3;9,7
Tres perceptores;Perceptora de ingresos;2017T2;9,8
Tres perceptores;Perceptora de ingresos;2017T1;11,8
Tres perceptores;Perceptora de ingresos;2016T4;13,7
Tres perceptores;Perceptora de ingresos;2016T3;10,2
Tres perceptores;Perceptora de ingresos;2016T2;11,2
Tres perceptores;Perceptora de ingresos;2016T1;11,5
Tres perceptores;Perceptora de ingresos;2015T4;8,8
Tres perceptores;Perceptora de ingresos;2015T3;16
Tres perceptores;Perceptora de ingresos;2015T2;14
Tres perceptores;Perceptora de ingresos;2015T1;14,5
Tres perceptores;Perceptora de ingresos;2014T4;14,1
Tres perceptores;Perceptora de ingresos;2014T3;18,8
Tres perceptores;Perceptora de ingresos;2014T2;17,8
Tres perceptores;Perceptora de ingresos;2014T1;11,3
Tres perceptores;Perceptora de ingresos;2013T4;15,5
Tres perceptores;Perceptora de ingresos;2013T3;19,6
Tres perceptores;Perceptora de ingresos;2013T2;20,5
Tres perceptores;Perceptora de ingresos;2013T1;21,2
Tres perceptores;Perceptora de ingresos;2012T4;20,9
Tres perceptores;Perceptora de ingresos;2012T3;23,8
Tres perceptores;Perceptora de ingresos;2012T2;23,2
Tres perceptores;Perceptora de ingresos;2012T1;22,4
Tres perceptores;Perceptora de ingresos;2011T4;23,3
Tres perceptores;Perceptora de ingresos;2011T3;23,7
Tres perceptores;Perceptora de ingresos;2011T2;17
Tres perceptores;Perceptora de ingresos;2011T1;26,1
Tres perceptores;Perceptora de ingresos;2010T4;18
Tres perceptores;Perceptora de ingresos;2010T3;18,7
Tres perceptores;Perceptora de ingresos;2010T2;25,5
Tres perceptores;Perceptora de ingresos;2010T1;28,8
Tres perceptores;Perceptora de ingresos;2009T4;24,7
Tres perceptores;Perceptora de ingresos;2009T3;19
Tres perceptores;Perceptora de ingresos;2009T2;22,5
Tres perceptores;Perceptora de ingresos;2009T1;19,9
Tres perceptores;Perceptora de ingresos;2008T4;17,4
Tres perceptores;Perceptora de ingresos;2008T3;16
Tres perceptores;Perceptora de ingresos;2008T2;13,2
Tres perceptores;Perceptora de ingresos;2008T1;12,1
Tres perceptores;Perceptora de ingresos;2007T4;9,2
Tres perceptores;Perceptora de ingresos;2007T3;10,8
Tres perceptores;Perceptora de ingresos;2007T2;10,3
Tres perceptores;Perceptora de ingresos;2007T1;7,6
Tres perceptores;Perceptora de ingresos;2006T4;9,7
Tres perceptores;Perceptora de ingresos;2006T3;10,8
Tres perceptores;Perceptora de ingresos;2006T2;7,7
Tres perceptores;Perceptora de ingresos;2006T1;8,1
Tres perceptores;Perceptora de ingresos;2005T4;9,1
Tres perceptores;Perceptora de ingresos;2005T3;6,8
Tres perceptores;Perceptora de ingresos;2005T2;8,2
Tres perceptores;Perceptora de ingresos;2005T1;6,8
Tres perceptores;Perceptora de ingresos;2004T4;8,9
Tres perceptores;Perceptora de ingresos;2004T3;12,1
Tres perceptores;Perceptora de ingresos;2004T2;9,2
Tres perceptores;Perceptora de ingresos;2004T1;7,5
Tres perceptores;Perceptora de ingresos;2003T4;8,3
Tres perceptores;Perceptora de ingresos;2003T3;7,8
Tres perceptores;Perceptora de ingresos;2003T2;5,4
Tres perceptores;Perceptora de ingresos;2003T1;6,4
Tres perceptores;Perceptora de ingresos;2002T4;5,8
Tres perceptores;Perceptora de ingresos;2002T3;7,4
Tres perceptores;Perceptora de ingresos;2002T2;8,1
Tres perceptores;Perceptora de ingresos;2002T1;8,5
Tres perceptores;No perceptora de ingresos;2025T4;17,4
Tres perceptores;No perceptora de ingresos;2025T3;15
Tres perceptores;No perceptora de ingresos;2025T2;16,9
Tres perceptores;No perceptora de ingresos;2025T1;19,3
Tres perceptores;No perceptora de ingresos;2024T4;17,6
Tres perceptores;No perceptora de ingresos;2024T3;22
Tres perceptores;No perceptora de ingresos;2024T2;24,4
Tres perceptores;No perceptora de ingresos;2024T1;16,2
Tres perceptores;No perceptora de ingresos;2023T4;15,9
Tres perceptores;No perceptora de ingresos;2023T3;25,1
Tres perceptores;No perceptora de ingresos;2023T2;21,3
Tres perceptores;No perceptora de ingresos;2023T1;18,4
Tres perceptores;No perceptora de ingresos;2022T4;23,8
Tres perceptores;No perceptora de ingresos;2022T3;17,7
